id,title,price,base_price,original_price,currency_id,initial_quantity,available_quantity,sold_quantity,condition,category_id,reviews_quantity,reviews_average,brand
MLA1990017942,Apple Tv De 3° Generación - Md199bz/a Muy Poco Uso!!!,59000.0,59000.0,,ARS,1,,,used,MLA352001,,,
MLA1968764116,Apple Tv 2.a Generación Hd 8gb Negro,30000.0,30000.0,,ARS,1,,,used,MLA352001,,,
MLA1769973558, Apple Tv A1427  8gb Negro  512mb Ram Con Caja,70000.0,70000.0,,ARS,1,,,used,MLA352001,,,
MLA1469995027,Apple Tv A1218 2007 1.a Generacion,30000.0,30000.0,,ARS,1,,,used,MLA352001,,,
MLA2007226274,Apple Tv A1378 Estándar 2.a Generación,24989.0,24989.0,,ARS,1,,,used,MLA352001,,,
MLA1399520644,Apple Tv 4k 32gb A1842 Negro (usado),400000.0,400000.0,,ARS,1,,,used,MLA352001,,,
MLA1938425710,Apple Tv 3,38000.0,38000.0,,ARS,1,,,used,MLA352001,,,
MLA1133058175,Apple Tv Modelo A1469,65000.0,65000.0,,ARS,1,,,used,MLA352001,,,
MLA1460688751,Apple Tv Hd 4.a Generación 2015 A1625 / 32 Gb,180000.0,180000.0,,ARS,1,,,used,MLA352001,,,
MLA1462043665,Apple Tv 2a Generación Full Hd,40000.0,40000.0,,ARS,1,,,used,MLA352001,,,
MLA1474236571,Apple Tv Hd A1625 De Voz 4.a Full Hd 32gb Negro,169000.0,169000.0,,ARS,1,,,used,MLA352001,,,
MLA1990674538,Apple Tv 3.a Generación A1427,49000.0,49000.0,,ARS,1,,,used,MLA352001,,,
MLA1414122791, Apple Tv A1427 Negro - 1080p Full Hd,120000.0,120000.0,,ARS,1,,,used,MLA352001,,,
MLA1903134622,Apple Tv A1427 3.ª Generación Full Hd 8gb,73999.0,73999.0,,ARS,1,,,used,MLA352001,,,
MLA1972159008,Apple Tv A1427 ( Control No Funciona),20000.0,20000.0,,ARS,1,,,used,MLA352001,,,
MLA1436930383,Apple Tv A1427 Estándar 3.ªgeneracion,80500.0,80500.0,,ARS,1,,,used,MLA352001,,,
MLA1913427140,Apple Tv A1427  3.a Generación Full Hd 8gb Negro,60000.0,60000.0,,ARS,1,,,used,MLA352001,,,
MLA1447987851,Apple Tv A1427 Estándar 3.a Generación Fhd,70000.0,70000.0,,ARS,1,,,used,MLA352001,,,
MLA1998810982,Apple Tv A1469 Estándar 3.a Generación Excelente Estado,39000.0,39000.0,,ARS,1,,,used,MLA352001,,,
MLA2016882872,Apple Tv 3gen Full Hd 8gb *no Funciona*,15000.0,15000.0,,ARS,1,,,used,MLA352001,,,
MLA1463957805,Apple Tv 4.a Generación 2015 Full Hd 32gb 2gb Ram,250000.0,250000.0,,ARS,1,,,used,MLA352001,,,
MLA1443682603,Apple Tv 2ª Generaciónhd 8gb Negro Con 256mb De Memoria Ram,60000.0,60000.0,,ARS,2,,,used,MLA352001,,,
MLA1474178905,Apple Tv 4k,50000.0,50000.0,,ARS,2,,,used,MLA352001,,,
MLA1419331631, Apple Tv 1ª Gen Full Hd -olo Aparato - Enciende - No Envío,25775.2,25775.2,,ARS,1,,,used,MLA352001,,,
MLA935560782,Apple Tv 3ra Generación - A1469,85000.0,85000.0,,ARS,1,,,used,MLA352001,,,
MLA1470131529,Apple Tv Hd A1625 De Voz 4.a Gen 2015 Full Hd 32gb,150000.0,150000.0,,ARS,1,,,used,MLA352001,,,
MLA1317267791,Apple Tv 3era Generación. Full Hd. Con Control Remoto,65000.0,65000.0,,ARS,1,,,used,MLA352001,,,
MLA2010200866,Apple Tv Hd 4ta 4th Generación 2015 A1625 Restore Problem,59000.0,59000.0,,ARS,1,,,used,MLA352001,,,
MLA1464550035,Apple Tv A1427 Estándar 3.a Generación,25000.0,25000.0,,ARS,1,,,used,MLA352001,,,
MLA1983274666,Amazon Fire Tv Stick De Voz 3gen Full Hd 8gb Negro Con 1gb De Ram,55541.0,55541.0,,ARS,991,,,new,MLA352001,,,
MLA2005704460,Amazon Fire Tv Stick 4k 2023 Wifi 6 2gb De Ram Con Alexa Color Negro,68499.0,68499.0,,ARS,172,,,new,MLA352001,,,
MLA1831398710,Amazon Lite Fire Tv Stick B091g4yp57 De Voz Full Hd 8gb Negro Con 1gb De Memoria Ram,61209.0,61209.0,,ARS,51,,,new,MLA352001,,,
MLA2013327302,Amazon Fire Tv Stick 4k Ultra Hd Max 16gb 2nda Generación Wi-fi 6e Color Negro Tipo De Control Remoto Estándar,101152.0,101152.0,,ARS,55,,,new,MLA352001,,,
MLA1565619806,Amazon Fire Tv Stick Lite Control Por Voz Alexa Fhd 1080p Color Negro Tipo De Control Remoto De Voz,61379.0,61379.0,,ARS,642,,,new,MLA352001,,,
MLA1974901626,Amazon Fire Tv Stick Hd 2024 Control Por Voz Fhd Streaming,55190.0,55190.0,,ARS,104,,,new,MLA352001,,,
MLA1968378116,Amazon Fire Tv Stick 3ra Hd Alexa Voice Remote Original,64019.0,64019.0,,ARS,47,,,new,MLA352001,,,
MLA1971319040,Amazon Fire Tv Stick 4k Max 16 Gb Wifi 6 Ultra Rápido Color Negro,112878.0,112878.0,,ARS,15,,,new,MLA352001,,,
MLA1401168109,Amazon Tv Stick Fire Tv Stick 4k Max K2r2te De Voz 1.ª Generación 4k 8gb Negro Con 2gb De Memoria Ram,112317.0,112317.0,,ARS,39,,,new,MLA352001,,,
MLA1474169913,Amazon Fire Tv Stick Hd 2024 Control Por Voz Fhd Sicoaf,59999.0,59999.0,,ARS,200,,,new,MLA352001,,,
